             (-0.50048699745397651,0.0000000000000000)
             (-0.46222410797750052,0.0000000000000000)
             (-0.50048699858866164,0.0000000000000000)
             (-0.34062138737940983,0.0000000000000000)
             (-0.44042465453967217,0.0000000000000000)
             (-0.50048700772403365,0.0000000000000000)
             (-0.21043986368431300,0.0000000000000000)
             (-0.30687950723431001,0.0000000000000000)
             (-0.43656812159680697,0.0000000000000000)
             (-0.50048700527158962,0.0000000000000000)
             (-0.11746134682987869,0.0000000000000000)
             (-0.18261579877895895,0.0000000000000000)
             (-0.29996866010024681,0.0000000000000000)
             (-0.43464039830319251,0.0000000000000000)
             (-0.50048699840752398,0.0000000000000000)
        (-6.28372174392067551E-002,0.0000000000000000)
             (-0.10060895440712384,0.0000000000000000)
             (-0.17783204477126849,0.0000000000000000)
             (-0.29809271478922345,0.0000000000000000)
             (-0.43497563205444623,0.0000000000000000)
             (-0.50048699039471400,0.0000000000000000)
        (-3.27190596025790439E-002,0.0000000000000000)
        (-5.30661385237022748E-002,0.0000000000000000)
        (-9.70175357315311154E-002,0.0000000000000000)
             (-0.17526821653693958,0.0000000000000000)
             (-0.29683133264243400,0.0000000000000000)
             (-0.43355844149741446,0.0000000000000000)
             (-0.50048698312722251,0.0000000000000000)
        (-1.69949701657533953E-002,0.0000000000000000)
        (-2.77121364384866203E-002,0.0000000000000000)
        (-5.13984292520765912E-002,0.0000000000000000)
        (-9.60286907147128443E-002,0.0000000000000000)
             (-0.17525251967679162,0.0000000000000000)
             (-0.29641776572303019,0.0000000000000000)
             (-0.43462182524566395,0.0000000000000000)
             (-0.50048698144451464,0.0000000000000000)
        (-8.74319809931743859E-003,0.0000000000000000)
        (-1.42889372075288255E-002,0.0000000000000000)
        (-2.66642153238051613E-002,0.0000000000000000)
        (-5.05491229465838895E-002,0.0000000000000000)
        (-9.54589952550193022E-002,0.0000000000000000)
             (-0.17401299306467979,0.0000000000000000)
             (-0.29635205499136508,0.0000000000000000)
             (-0.43350184126866753,0.0000000000000000)
             (-0.50048698290859095,0.0000000000000000)
        (-4.51237221287412778E-003,0.0000000000000000)
        (-7.38136720462708156E-003,0.0000000000000000)
        (-1.38088453186720715E-002,0.0000000000000000)
        (-2.63377047798111844E-002,0.0000000000000000)
        (-5.04662784290962896E-002,0.0000000000000000)
        (-9.51402441029331331E-002,0.0000000000000000)
             (-0.17466662022075954,0.0000000000000000)
             (-0.29602074422195912,0.0000000000000000)
             (-0.43433774377493256,0.0000000000000000)
             (-0.50048694159812324,0.0000000000000000)
        (-2.31052762717792130E-003,0.0000000000000000)
        (-3.78103527736334787E-003,0.0000000000000000)
        (-7.08087715293435199E-003,0.0000000000000000)
        (-1.35398088853322541E-002,0.0000000000000000)
        (-2.61042601706408771E-002,0.0000000000000000)
        (-4.99341645934155351E-002,0.0000000000000000)
        (-9.48715455717069472E-002,0.0000000000000000)
             (-0.17332232642844275,0.0000000000000000)
             (-0.29545718554961553,0.0000000000000000)
             (-0.43301544120708951,0.0000000000000000)
             (-0.50048687199062558,0.0000000000000000)
        (-1.18994268312396390E-003,0.0000000000000000)
        (-1.94757380033932126E-003,0.0000000000000000)
        (-3.64885015481094350E-003,0.0000000000000000)
        (-6.98445777019169114E-003,0.0000000000000000)
        (-1.34998348519590194E-002,0.0000000000000000)
        (-2.59796274754927822E-002,0.0000000000000000)
        (-5.00819606400409595E-002,0.0000000000000000)
        (-9.46152299317967876E-002,0.0000000000000000)
             (-0.17382638290636435,0.0000000000000000)
             (-0.29518670689260212,0.0000000000000000)
             (-0.43410523863294109,0.0000000000000000)
             (-0.50048668691417275,0.0000000000000000)
        (-6.10891060559638158E-004,0.0000000000000000)
        (-9.99907742607124197E-004,0.0000000000000000)
        (-1.87369541248083864E-003,0.0000000000000000)
        (-3.58808399276010822E-003,0.0000000000000000)
        (-6.94246557661212533E-003,0.0000000000000000)
        (-1.33939692323661423E-002,0.0000000000000000)
        (-2.59784612884577173E-002,0.0000000000000000)
        (-4.97924107778938349E-002,0.0000000000000000)
        (-9.46391263285575324E-002,0.0000000000000000)
             (-0.17316839067387604,0.0000000000000000)
             (-0.29580616943353932,0.0000000000000000)
             (-0.43354990497093970,0.0000000000000000)
             (-0.50048627814500701,0.0000000000000000)
        (-3.12199848561105697E-004,0.0000000000000000)
        (-5.11023070625467920E-004,0.0000000000000000)
        (-9.57660027303591506E-004,0.0000000000000000)
        (-1.83422307149443868E-003,0.0000000000000000)
        (-3.55051580899179388E-003,0.0000000000000000)
        (-6.85707164381147306E-003,0.0000000000000000)
        (-1.33335740842387834E-002,0.0000000000000000)
        (-2.57115166393787620E-002,0.0000000000000000)
        (-4.95873660801141730E-002,0.0000000000000000)
        (-9.38511232552236563E-002,0.0000000000000000)
             (-0.17293626239663495,0.0000000000000000)
             (-0.29421903236600239,0.0000000000000000)
             (-0.43273478872037802,0.0000000000000000)
             (-0.50048516956342648,0.0000000000000000)
        (-1.61404739717504835E-004,0.0000000000000000)
        (-2.64197603261616854E-004,0.0000000000000000)
        (-4.95122333806594854E-004,0.0000000000000000)
        (-9.48384784863522405E-004,0.0000000000000000)
        (-1.83611532310533148E-003,0.0000000000000000)
        (-3.54756152133215872E-003,0.0000000000000000)
        (-6.90534293294482390E-003,0.0000000000000000)
        (-1.33486490401539398E-002,0.0000000000000000)
        (-2.58990813486777785E-002,0.0000000000000000)
        (-4.97188660253166034E-002,0.0000000000000000)
        (-9.47437280029693463E-002,0.0000000000000000)
             (-0.17353906634652361,0.0000000000000000)
             (-0.29570220408424214,0.0000000000000000)
             (-0.43482370106443519,0.0000000000000000)
             (-0.50048264620773697,0.0000000000000000)
        (-8.54408236006620303E-005,0.0000000000000000)
        (-1.39855614144856886E-004,0.0000000000000000)
        (-2.62101067754034361E-004,0.0000000000000000)
        (-5.02057531481568372E-004,0.0000000000000000)
        (-9.72074847121717788E-004,0.0000000000000000)
        (-1.87846821163468016E-003,0.0000000000000000)
        (-3.65797555445298000E-003,0.0000000000000000)
        (-7.07829044923698018E-003,0.0000000000000000)
        (-1.37669711998859821E-002,0.0000000000000000)
        (-2.65838320149605137E-002,0.0000000000000000)
        (-5.13800518139563497E-002,0.0000000000000000)
        (-9.72461696773024714E-002,0.0000000000000000)
             (-0.17822337096178911,0.0000000000000000)
             (-0.30312432585565968,0.0000000000000000)
             (-0.43902454794287776,0.0000000000000000)
             (-0.50047685317492807,0.0000000000000000)
        (-5.16409989607676155E-005,0.0000000000000000)
