             (1.00000000,1.00000000)  -1.6766454891126159E-009   0.0000000000000000     
             (2.00000000,2.00000000)  -3.2756739543060576E-009   0.0000000000000000     
             (3.00000000,3.00000000)  -7.4474333366936207E-009   0.0000000000000000     
             (4.00000000,4.00000000)  -1.7885591674371426E-008   0.0000000000000000     
             (5.00000000,5.00000000)  -4.3007435834852004E-008   0.0000000000000000     
             (6.00000000,6.00000000)  -1.0379894632706055E-007   0.0000000000000000     
             (7.00000000,7.00000000)  -2.5194916020154778E-007   0.0000000000000000     
             (8.00000000,8.00000000)  -6.0962344150539138E-007   0.0000000000000000     
             (9.00000000,9.00000000)  -1.4742772691533901E-006   0.0000000000000000     
             (10.0000000,10.0000000)  -3.5862196909874910E-006   0.0000000000000000     
             (11.0000000,11.0000000)  -8.6502677731914446E-006   0.0000000000000000     
             (12.0000000,12.0000000)  -2.0905779820168391E-005   0.0000000000000000     
             (13.0000000,13.0000000)  -4.8460602556588128E-005   0.0000000000000000     
             (14.0000000,14.0000000)  -9.4957591500133276E-005   0.0000000000000000     
             (15.0000000,15.0000000)  -5.1767773356914404E-007   0.0000000000000000     
             (16.0000000,16.0000000)  -5.1767779041256290E-007   0.0000000000000000     
             (17.0000000,17.0000000)  -1.5530332575508510E-006   0.0000000000000000     
             (18.0000000,18.0000000)  -8.9715467765927315E-007   0.0000000000000000     
             (19.0000000,19.0000000)  -8.9715479134611087E-007   0.0000000000000000     
             (20.0000000,20.0000000)  -2.6914644877251703E-006   0.0000000000000000     
             (21.0000000,21.0000000)  -1.8107912183040753E-006   0.0000000000000000     
             (22.0000000,22.0000000)  -1.8107916730514262E-006   0.0000000000000000     
             (23.0000000,23.0000000)  -5.4323750191542786E-006   0.0000000000000000     
             (24.0000000,24.0000000)  -3.7116237763257232E-006   0.0000000000000000     
             (25.0000000,25.0000000)  -3.7116260500624776E-006   0.0000000000000000     
             (26.0000000,26.0000000)  -1.1134878150187433E-005   0.0000000000000000     
             (27.0000000,27.0000000)  -7.4505751399556175E-006   0.0000000000000000     
             (28.0000000,28.0000000)  -7.4505842349026352E-006   0.0000000000000000     
             (29.0000000,29.0000000)  -2.2351752704707906E-005   0.0000000000000000     
             (30.0000000,30.0000000)  -1.2863535630458500E-005   0.0000000000000000     
             (31.0000000,31.0000000)  -1.2863562005804852E-005   0.0000000000000000     
             (32.0000000,32.0000000)  -3.8590686017414555E-005   0.0000000000000000     
             (33.0000000,33.0000000)  -2.5726991225383244E-005   0.0000000000000000     
             (34.0000000,34.0000000)  -2.5727098545758054E-005   0.0000000000000000     
             (35.0000000,35.0000000)  -7.7181291999295354E-005   0.0000000000000000     
             (36.0000000,36.0000000)  -5.1453665946610272E-005   0.0000000000000000     
             (37.0000000,37.0000000)  -5.1454091590130702E-005   0.0000000000000000     
             (38.0000000,38.0000000)  -1.5436226385645568E-004   0.0000000000000000     
             (39.0000000,39.0000000)  -1.0290605860063806E-004   0.0000000000000000     
             (40.0000000,40.0000000)  -1.0290775389876217E-004   0.0000000000000000     
             (41.0000000,41.0000000)  -3.0872327624820173E-004   0.0000000000000000     
             (42.0000000,42.0000000)  -2.0580703858286142E-004   0.0000000000000000     
             (43.0000000,43.0000000)  -2.0581381977535784E-004   0.0000000000000000     
             (44.0000000,44.0000000)  -6.1744143022224307E-004   0.0000000000000000     
             (45.0000000,45.0000000)  -4.1159373358823359E-004   0.0000000000000000     
             (46.0000000,46.0000000)  -4.1162085835821927E-004   0.0000000000000000     
             (47.0000000,47.0000000)  -1.2348626041784883E-003   0.0000000000000000     
             (48.0000000,48.0000000)  -1.5300668110285187E-006   0.0000000000000000     
             (49.0000000,49.0000000)  -1.5300676068363828E-006   0.0000000000000000     
             (50.0000000,50.0000000)  -7.6503383752424270E-006   0.0000000000000000     
             (51.0000000,51.0000000)  -1.5300672657758696E-006   0.0000000000000000     
             (52.0000000,52.0000000)  -4.5902015699539334E-006   0.0000000000000000     
             (53.0000000,53.0000000)  -4.5902029341959860E-006   0.0000000000000000     
             (54.0000000,54.0000000)  -3.0601318030676339E-006   0.0000000000000000     
             (55.0000000,55.0000000)  -3.0601347589254146E-006   0.0000000000000000     
             (56.0000000,56.0000000)  -1.5300674931495450E-005   0.0000000000000000     
             (57.0000000,57.0000000)  -3.0601333946833620E-006   0.0000000000000000     
             (58.0000000,58.0000000)  -9.1804004114237614E-006   0.0000000000000000     
             (59.0000000,59.0000000)  -9.1804049588972703E-006   0.0000000000000000     
             (60.0000000,60.0000000)  -1.1808925819423166E-006   0.0000000000000000     
             (61.0000000,61.0000000)  -1.1808932640633429E-006   0.0000000000000000     
             (62.0000000,62.0000000)  -8.2662527347565629E-006   0.0000000000000000     
             (63.0000000,63.0000000)  -1.1808928093159921E-006   0.0000000000000000     
             (64.0000000,64.0000000)  -3.5426783142611384E-006   0.0000000000000000     
             (65.0000000,65.0000000)  -1.1808930366896675E-006   0.0000000000000000     
             (66.0000000,66.0000000)  -3.5426796785031911E-006   0.0000000000000000     
             (67.0000000,67.0000000)  -5.9044650697614998E-006   0.0000000000000000     
             (68.0000000,68.0000000)  -5.9044659792562015E-006   0.0000000000000000     
             (69.0000000,69.0000000)  -3.5426789963821648E-006   0.0000000000000000     
